District_Name,Name_Updated
24 PARAGANAS NORTH,NORTH 24 PARGANAS
24 PARAGANAS SOUTH,SOUTH 24 PARGANAS
AHMEDNAGAR,AHMADNAGAR
ALIRAJPUR,
AMBEDKAR NAGAR,AMBEDKARNAGAR
AMROHA,
ARWAL,
BADGAM,
BAKSA,
BANDIPORA,
BARABANKI,BARA BANKI
BARAMULLA,BARAMULA
BARDHAMAN,BARDDHAMAN
BARGARH,BARAGARH
BARNALA,
BEED,BID
BENGALURU URBAN,BANGALORE URBAN
BOUDH,
BUDAUN,BADAUN
BULDHANA,BULDANA
CENTRAL,DELHI
CHAMARAJANAGAR,CHAMRAJNAGAR
CHIKBALLAPUR,
CHIRANG,
CHITTORGARH,CHITTAURGARH
COOCHBEHAR,KOCHBIHAR
DADRA AND NAGAR HAVELI,DIU
DANG,THE DANGS
DANTEWADA,DANTEWARA
DARJEELING,DARJILING
DEHRADUN,DEHRA DUN
DEOGHAR,DEVGHAR
DHOLPUR,DHAULPUR
DHUBRI,DHUBURI
DIMA HASAO,NORTH CACHAR HILLS
DIMAPUR,
DINAJPUR DAKSHIN,DAKSHIN DINAJPUR
DINAJPUR UTTAR,
DODA,
DOHAD,DAHOD
EAST DISTRICT,
EAST JAINTIA HILLS,JAINTIA HILLS
EAST SINGHBUM,PURBI SINGHBHUM
FIROZEPUR,FIROZPUR
GADCHIROLI,GARHCHIROLI
GANDERBAL,
GAUTAM BUDDHA NAGAR,GAUTAMBUDH NAGAR
GONDIA,GONDIYA
HAZARIBAGH,HAZARIBAG
HOOGHLY,HUGLI
HOWRAH,HAORA
IMPHAL WEST,
JALORE,JALOR
JANJGIR-CHAMPA,JANJGIR CHAMPA
JEHANABAD,JHANABAD
JHUNJHUNU,JHUNJHUNUN
KABIRDHAM,KAWARDHA
KADAPA,
KAIMUR (BHABUA),
KAMRUP METRO,
KANDHAMAL,PHULABANI (KANDHAMAL)
KARGIL,
KASGANJ,
KENDRAPARA,KENDRAPARHA
KHANDWA,
KHARGONE,
KHUNTI,
KIPHIRE,
KISHTWAR,
KODERMA,KODARMA
KRISHNAGIRI,
KULGAM,
KUPWARA,
KUSHI NAGAR,KUSHINAGAR
LAHUL AND SPITI,LAHUL & SPITI
LAWNGTLAI,LAWANGTLAI
LEH LADAKH,LEH (LADAKH)
LONGLENG,LUNGLEI
MADURAI,MADHURAI
MEDINIPUR EAST,PURBA MEDINIPUR
MEDINIPUR WEST,PASHCHIM MEDINIPUR
MEWAT,
MUMBAI,MUMBAI CITY
NABARANGPUR,NABARANGAPUR
NAGAPATTINAM,NAGAPPATTINAM
NAINITAL,NAINI TAL
NARAYANPUR,
NARSINGHPUR,NARSIMHAPUR
NAWANSHAHR,NAWAN SHAHR
NEEMUCH,NIMACH
NICOBARS,NICOBAR
NORTH AND MIDDLE ANDAMAN,NORTH ANDAMAN
NORTH DISTRICT,
NUAPADA,NUAPARHA
PALWAL,
PANCH MAHALS,
PATHANAMTHITTA,PATTANAMTITTA
PAURI GARHWAL,GARHWAL
PEREN,
POONCH,PUNCH
PULWAMA,
PURBI CHAMPARAN,PURBA CHAMPARAN
PURULIA,PURULIYA
RAJAURI,
RAJNANDGAON,RAJ NANDGAON
RAJSAMAND,RAJ SAMAND
RAMANAGARA,
RAMBAN,
RAMGARH,
RANGAREDDI,RANGAREDDY
RAYAGADA,RAYAGARH
REASI,RIASI
RI BHOI,RIBOHI
RUDRA PRAYAG,RUDRAPRAYAG
S.A.S NAGAR,
SAHEBGANJ,SAHIBGANJ
SAMBA,
SANT KABEER NAGAR,SANT KABIR NAGAR
SANT RAVIDAS NAGAR,SANT RAVI DAS NAGAR(BHADOHI)
SARAIKELA KHARSAWAN,SARAIKELA
SARAN,CHHAPRA
SHOPIAN,
SHRAVASTI,SHRAWASTI
SINGRAULI,
SIVASAGAR,SIBSAGAR
SONEPUR,SONAPUR
SOUTH ANDAMANS,SOUTH ANDAMAN
SOUTH DISTRICT,
SOUTH WEST,
SPSR NELLORE,NELLORE
SRINAGAR,
TAPI,
TARN TARAN,
THE NILGIRIS,NILGIRI
THENI,TENI
THIRUVALLUR,
THRISSUR,TRISHSHUR
TIRUCHIRAPPALLI,TIRUVALLUR
TIRUPPUR,
TUTICORIN,TUTICORIN (TUTTUKUDI)
UDALGURI,
UDAM SINGH NAGAR,UDHAM SINGH NAGAR
UTTAR KASHI,UTTARKASHI
VIRUDHUNAGAR,VIRUDUNAGAR
VISAKHAPATANAM,VISHAKHAPATNAM
WEST DISTRICT,
WEST SINGHBHUM,PASHCHIMI SINGHBHUM
YADGIR,